306;Aracruz;ES;0.752;0.717;0.838;0.707
307;Araçu;GO;0.693;0.686;0.838;0.578
308;Araçuaí;MG;0.663;0.633;0.821;0.560
309;Aragarças;GO;0.732;0.694;0.830;0.680
310;Aragoiânia;GO;0.684;0.683;0.837;0.560
311;Aragominas;TO;0.593;0.611;0.739;0.461
312;Araguacema;TO;0.639;0.587;0.805;0.553
313;Araguaçu;TO;0.675;0.642;0.796;0.602
314;Araguaiana;MT;0.687;0.671;0.817;0.591
315;Araguaína;TO;0.752;0.727;0.821;0.712
316;Araguainha;MT;0.701;0.650;0.844;0.627
317;Araguanã;MA;0.533;0.483;0.706;0.444
318;Araguanã;TO;0.604;0.617;0.756;0.473
319;Araguapaz;GO;0.674;0.696;0.814;0.540
320;Araguari;MG;0.773;0.740;0.871;0.716
321;Araguatins;TO;0.631;0.604;0.793;0.525
322;Araioses;MA;0.521;0.497;0.709;0.402
323;Aral Moreira;MS;0.633;0.628;0.798;0.507
324;Aramari;BA;0.588;0.568;0.761;0.470
325;Arambaré;RS;0.691;0.694;0.833;0.570
326;Arame;MA;0.512;0.525;0.701;0.365
327;Aramina;SP;0.740;0.723;0.856;0.656
328;Arandu;SP;0.685;0.675;0.806;0.592
329;Arantina;MG;0.697;0.633;0.834;0.641
330;Arapeí;SP;0.680;0.634;0.812;0.612
331;Arapiraca;AL;0.649;0.638;0.780;0.549
332;Arapoema;TO;0.680;0.645;0.810;0.601
333;Araponga;MG;0.536;0.597;0.760;0.339
334;Arapongas;PR;0.748;0.751;0.834;0.669
335;Araporã;MG;0.708;0.676;0.813;0.646
336;Arapoti;PR;0.723;0.715;0.823;0.643
337;Arapuá;MG;0.724;0.718;0.871;0.608
338;Arapuã;PR;0.676;0.638;0.828;0.584
339;Araputanga;MT;0.725;0.704;0.826;0.655
340;Araquari;SC;0.703;0.696;0.830;0.602
341;Arara;PB;0.548;0.569;0.712;0.407
342;Araranguá;SC;0.760;0.745;0.853;0.691
343;Araraquara;SP;0.815;0.788;0.877;0.782
344;Araras;SP;0.781;0.763;0.859;0.728
345;Ararendá;CE;0.590;0.522;0.763;0.516
346;Arari;MA;0.626;0.587;0.764;0.546
347;Araricá;RS;0.679;0.696;0.824;0.547
348;Araripe;CE;0.564;0.515;0.759;0.459
349;Araripina;PE;0.602;0.595;0.785;0.467
350;Araruama;RJ;0.718;0.714;0.839;0.617
351;Araruna;PB;0.567;0.549;0.758;0.439
352;Araruna;PR;0.704;0.685;0.785;0.648
353;Arataca;BA;0.559;0.557;0.758;0.413
354;Aratiba;RS;0.772;0.801;0.856;0.670
355;Aratuba;CE;0.622;0.530;0.775;0.587
356;Aratuípe;BA;0.575;0.570;0.753;0.443
357;Arauá;SE;0.595;0.550;0.783;0.490
358;Araucária;PR;0.740;0.743;0.852;0.639
359;Araújos;MG;0.698;0.694;0.855;0.574
360;Araxá;MG;0.772;0.756;0.858;0.709
361;Arceburgo;MG;0.683;0.687;0.810;0.573
362;Arco-Íris;SP;0.722;0.671;0.809;0.694
363;Arcos;MG;0.749;0.717;0.874;0.671
364;Arcoverde;PE;0.667;0.654;0.799;0.567
365;Areado;MG;0.727;0.700;0.847;0.649
366;Areal;RJ;0.684;0.686;0.823;0.566
367;Arealva;SP;0.744;0.718;0.840;0.683
368;Areia;PB;0.594;0.593;0.756;0.467
369;Areia Branca;RN;0.682;0.647;0.790;0.621
370;Areia Branca;SE;0.579;0.579;0.773;0.434
371;Areia de Baraúnas;PB;0.562;0.566;0.680;0.462
372;Areial;PB;0.608;0.573;0.779;0.503
373;Areias;SP;0.697;0.627;0.803;0.672
374;Areiópolis;SP;0.695;0.686;0.823;0.594
375;Arenápolis;MT;0.704;0.677;0.793;0.649
376;Arenópolis;GO;0.687;0.674;0.826;0.582
377;Arês;RN;0.606;0.587;0.725;0.523
378;Argirita;MG;0.643;0.645;0.817;0.505
379;Aricanduva;MG;0.582;0.553;0.787;0.454
380;Arinos;MG;0.656;0.607;0.815;0.570
381;Aripuanã;MT;0.675;0.682;0.816;0.553
382;Ariquemes;RO;0.702;0.716;0.806;0.600
383;Ariranha;SP;0.733;0.730;0.813;0.663
384;Ariranha do Ivaí;PR;0.670;0.637;0.794;0.594
385;Armação dos Búzios;RJ;0.728;0.750;0.824;0.624
386;Armazém;SC;0.770;0.743;0.882;0.698
387;Arneiroz;CE;0.618;0.565;0.740;0.564
388;Aroazes;PI;0.583;0.563;0.752;0.468
389;Aroeiras;PB;0.548;0.537;0.745;0.411
390;Aroeiras do Itaim;PI;0.519;0.502;0.738;0.378
391;Arraial;PI;0.560;0.514;0.761;0.449
392;Arraial do Cabo;RJ;0.733;0.722;0.805;0.677
393;Arraias;TO;0.651;0.636;0.829;0.523
394;Arroio do Meio;RS;0.769;0.750;0.860;0.706
395;Arroio do Padre;RS;0.669;0.756;0.860;0.461
396;Arroio do Sal;RS;0.740;0.740;0.844;0.649
397;Arroio do Tigre;RS;0.707;0.708;0.848;0.589
398;Arroio dos Ratos;RS;0.698;0.700;0.833;0.583
399;Arroio Grande;RS;0.657;0.673;0.807;0.522
400;Arroio Trinta;SC;0.764;0.781;0.873;0.653
401;Artur Nogueira;SP;0.749;0.745;0.827;0.681
402;Aruanã;GO;0.675;0.708;0.826;0.526
403;Arujá;SP;0.784;0.761;0.866;0.730
404;Arvoredo;SC;0.715;0.713;0.842;0.610
405;Arvorezinha;RS;0.694;0.713;0.817;0.575
406;Ascurra;SC;0.742;0.739;0.868;0.636
407;Aspásia;SP;0.735;0.699;0.864;0.657
408;Assaí;PR;0.728;0.724;0.833;0.641
409;Assaré;CE;0.600;0.573;0.783;0.482
410;Assis;SP;0.805;0.771;0.865;0.781
411;Assis Brasil;AC;0.588;0.578;0.770;0.456
412;Assis Chateaubriand;PR;0.729;0.713;0.857;0.633
413;Assunção;PB;0.609;0.601;0.738;0.510
414;Assunção do Piauí;PI;0.499;0.462;0.706;0.382
415;Astolfo Dutra;MG;0.694;0.686;0.858;0.567
416;Astorga;PR;0.747;0.754;0.818;0.675
417;Atalaia;AL;0.561;0.545;0.752;0.431
418;Atalaia;PR;0.736;0.707;0.854;0.660
419;Atalaia do Norte;AM;0.450;0.481;0.733;0.259
420;Atalanta;SC;0.733;0.736;0.802;0.668
421;Ataléia;MG;0.588;0.592;0.813;0.423
422;Atibaia;SP;0.765;0.786;0.851;0.670
423;Atilio Vivacqua;ES;0.708;0.663;0.841;0.637
424;Augustinópolis;TO;0.670;0.614;0.793;0.619
425;Augusto Corrêa;PA;0.520;0.480;0.772;0.380
426;Augusto de Lima;MG;0.656;0.622;0.815;0.557
427;Augusto Pestana;RS;0.743;0.779;0.847;0.621
428;Augusto Severo;RN;0.621;0.624;0.774;0.495
429;Áurea;RS;0.707;0.715;0.841;0.588
430;Aurelino Leal;BA;0.568;0.555;0.759;0.434
431;Auriflama;SP;0.773;0.746;0.840;0.738
432;Aurilândia;GO;0.700;0.661;0.836;0.620
433;Aurora;CE;0.605;0.557;0.764;0.521
434;Aurora;SC;0.733;0.748;0.870;0.606
435;Aurora do Pará;PA;0.519;0.504;0.773;0.358
436;Aurora do Tocantins;TO;0.677;0.676;0.804;0.570
437;Autazes;AM;0.577;0.539;0.799;0.446
438;Avaí;SP;0.714;0.674;0.830;0.650
439;Avanhandava;SP;0.705;0.688;0.817;0.623
440;Avaré;SP;0.767;0.751;0.866;0.695
441;Aveiro;PA;0.541;0.470;0.748;0.450
442;Avelino Lopes;PI;0.554;0.532;0.722;0.442
443;Avelinópolis;GO;0.660;0.682;0.828;0.508
444;Axixá;MA;0.641;0.535;0.776;0.634
445;Axixá do Tocantins;TO;0.627;0.595;0.733;0.566
446;Babaçulândia;TO;0.642;0.589;0.792;0.568
447;Bacabal;MA;0.651;0.619;0.753;0.591
448;Bacabeira;MA;0.629;0.558;0.768;0.580
449;Bacuri;MA;0.578;0.540;0.737;0.484
450;Bacurituba;MA;0.537;0.474;0.681;0.479
451;Bady Bassitt;SP;0.746;0.737;0.805;0.701
452;Baependi;MG;0.681;0.664;0.833;0.570
453;Bagé;RS;0.740;0.739;0.848;0.647
454;Bagre;PA;0.471;0.481;0.777;0.280
455;Baía da Traição;PB;0.581;0.541;0.731;0.495
456;Baía Formosa;RN;0.609;0.590;0.718;0.534
457;Baianópolis;BA;0.589;0.543;0.763;0.492
458;Baião;PA;0.578;0.538;0.770;0.467
459;Baixa Grande;BA;0.585;0.549;0.775;0.471
460;Baixa Grande do Ribeiro;PI;0.564;0.537;0.751;0.446
461;Baixio;CE;0.627;0.563;0.763;0.575
462;Baixo Guandu;ES;0.702;0.670;0.811;0.637
463;Balbinos;SP;0.669;0.690;0.809;0.537
464;Baldim;MG;0.671;0.650;0.787;0.590
465;Baliza;GO;0.655;0.614;0.819;0.558
466;Balneário Arroio do Silva;SC;0.746;0.753;0.858;0.642
467;Balneário Barra do Sul;SC;0.716;0.713;0.844;0.611
468;Balneário Camboriú;SC;0.845;0.854;0.894;0.789
469;Balneário Gaivota;SC;0.728;0.734;0.844;0.622
470;Balneário Piçarras;SC;0.756;0.745;0.869;0.668
471;Balneário Pinhal;RS;0.696;0.710;0.836;0.567
472;Balsa Nova;PR;0.696;0.707;0.823;0.579
473;Bálsamo;SP;0.756;0.746;0.835;0.695
474;Balsas;MA;0.687;0.674;0.807;0.597
475;Bambuí;MG;0.741;0.735;0.870;0.636
476;Banabuiú;CE;0.606;0.540;0.779;0.530
477;Bananal;SP;0.733;0.693;0.872;0.653
478;Bananeiras;PB;0.568;0.555;0.766;0.430
479;Bandeira;MG;0.599;0.583;0.811;0.454
480;Bandeira do Sul;MG;0.692;0.681;0.802;0.608
481;Bandeirante;SC;0.672;0.675;0.795;0.565
482;Bandeirantes;MS;0.681;0.694;0.848;0.537
483;Bandeirantes;PR;0.727;0.714;0.819;0.658
484;Bandeirantes do Tocantins;TO;0.638;0.570;0.797;0.571
485;Bannach;PA;0.594;0.635;0.784;0.420
486;Banzaê;BA;0.579;0.539;0.769;0.468
487;Barão;RS;0.748;0.767;0.836;0.652
488;Barão de Antonina;SP;0.711;0.676;0.820;0.649
489;Barão de Cocais;MG;0.722;0.679;0.858;0.647
490;Barão de Cotegipe;RS;0.719;0.745;0.842;0.593
491;Barão de Grajaú;MA;0.592;0.578;0.743;0.484
492;Barão de Melgaço;MT;0.600;0.598;0.820;0.440
493;Barão de Monte Alto;MG;0.649;0.619;0.827;0.533
494;Barão do Triunfo;RS;0.610;0.645;0.821;0.428
495;Baraúna;PB;0.558;0.526;0.718;0.459
